Entity,Code,Year,"Employment to population ratio, 15+, female (%) (national estimate)"
Afghanistan,AFG,2008,42.83000183105469
Afghanistan,AFG,2012,15.479999542236328
Afghanistan,AFG,2014,23.18000030517578
Afghanistan,AFG,2017,18.200000762939453
Afghanistan,AFG,2020,13.729999542236328
Albania,ALB,2004,39
Albania,ALB,2007,30.690000534057617
Albania,ALB,2008,39.38999938964844
Albania,ALB,2009,38.90999984741211
Albania,ALB,2010,39.439998626708984
Albania,ALB,2011,45.27000045776367
Albania,ALB,2012,43.22999954223633
Albania,ALB,2013,38.040000915527344
Albania,ALB,2014,37.15999984741211
Albania,ALB,2015,38.97999954223633
Albania,ALB,2016,42.540000915527344
Albania,ALB,2017,43.369998931884766
Albania,ALB,2018,45.220001220703125
Albania,ALB,2019,46.88999938964844
Algeria,DZA,1975,2.5
Algeria,DZA,1984,4.769999980926514
Algeria,DZA,2009,11.420000076293945
Algeria,DZA,2010,11.449999809265137
Algeria,DZA,2014,12.350000381469727
Algeria,DZA,2015,13.600000381469727
Algeria,DZA,2016,13.850000381469727
Algeria,DZA,2017,13.460000038146973
Angola,AGO,2004,46.29999923706055
Angola,AGO,2009,59.209999084472656
Angola,AGO,2010,67.43000030517578
Angola,AGO,2011,69.12999725341797
Angola,AGO,2014,33.650001525878906
Antigua and Barbuda,ATG,1991,59.380001068115234
Antigua and Barbuda,ATG,2001,60.470001220703125
Argentina,ARG,1990,31.899999618530273
Argentina,ARG,1991,32
Argentina,ARG,1992,33.099998474121094
Argentina,ARG,1993,33.29999923706055
Argentina,ARG,1994,31.100000381469727
Argentina,ARG,1995,31.5
Argentina,ARG,1996,31.700000762939453
Argentina,ARG,1997,33.599998474121094
Argentina,ARG,1998,35
Argentina,ARG,1999,35.79999923706055
Argentina,ARG,2000,37.20000076293945
Argentina,ARG,2001,35.5
Argentina,ARG,2002,37.599998474121094
Argentina,ARG,2003,41.20000076293945
Argentina,ARG,2004,42.38999938964844
Argentina,ARG,2005,42.790000915527344
Argentina,ARG,2006,43.91999816894531
Argentina,ARG,2007,43.400001525878906
Argentina,ARG,2008,43.72999954223633
Argentina,ARG,2009,44.29999923706055
Argentina,ARG,2010,43.63999938964844
Argentina,ARG,2011,44.150001525878906
Argentina,ARG,2012,44.130001068115234
Argentina,ARG,2013,43.900001525878906
Argentina,ARG,2014,43.720001220703125
Argentina,ARG,2017,43.470001220703125
Argentina,ARG,2018,44.31999969482422
Argentina,ARG,2019,44.91999816894531
Argentina,ARG,2020,41.02000045776367
Armenia,ARM,2000,29.729999542236328
Armenia,ARM,2007,38.22999954223633
Armenia,ARM,2008,36.040000915527344
Armenia,ARM,2009,37.400001525878906
Armenia,ARM,2010,41.130001068115234
Armenia,ARM,2011,41.13999938964844
Armenia,ARM,2012,40.68000030517578
Armenia,ARM,2013,42.02000045776367
Armenia,ARM,2014,44.470001220703125
Armenia,ARM,2015,43.75
Armenia,ARM,2016,43.209999084472656
Armenia,ARM,2017,43.540000915527344
Armenia,ARM,2018,37.869998931884766
Armenia,ARM,2019,39.88999938964844
Armenia,ARM,2020,38.349998474121094
Aruba,ABW,1991,47.68000030517578
Aruba,ABW,2000,51.93000030517578
Aruba,ABW,2007,55.61000061035156
Aruba,ABW,2010,53.310001373291016
Aruba,ABW,2011,53.400001525878906
Australia,AUS,1979,40.0099983215332
Australia,AUS,1980,41.25
Australia,AUS,1981,41.41999816894531
Australia,AUS,1982,40.84000015258789
Australia,AUS,1983,40.029998779296875
Australia,AUS,1984,41.0099983215332
Australia,AUS,1985,42.220001220703125
Australia,AUS,1986,44.09000015258789
Australia,AUS,1987,44.720001220703125
Australia,AUS,1988,45.91999816894531
Australia,AUS,1989,47.720001220703125
Australia,AUS,1990,48.4900016784668
Australia,AUS,1991,47.220001220703125
Australia,AUS,1992,46.779998779296875
Australia,AUS,1993,46.529998779296875
Australia,AUS,1994,47.66999816894531
Australia,AUS,1995,49.2599983215332
